Ref,Val,Package,PosX,PosY,Rot,Side
"C102","100n","C_0805_2012Metric",-22.418000,-82.677000,180.000000,bottom
"C103","100n","C_0805_2012Metric",-28.829000,-74.803000,0.000000,bottom
"C104","100n","C_0805_2012Metric",-28.829000,-82.677000,0.000000,bottom
"C105","4u7","C_0603_1608Metric",-22.352000,-80.772000,180.000000,bottom
"C106","4u7","C_0603_1608Metric",-28.956000,-76.708000,0.000000,bottom
"C107","100n","C_0805_2012Metric",-22.098000,-77.089000,180.000000,bottom
"C108","100n","C_0805_2012Metric",-22.098000,-74.930000,180.000000,bottom
"C109","4u7","C_0603_1608Metric",-28.956000,-80.772000,0.000000,bottom
"C401","4u7","C_0603_1608Metric",-112.395000,-19.588000,90.000000,bottom
"C402","100n","C_0805_2012Metric",-103.505000,-20.350000,90.000000,bottom
"C403","1n","C_0603_1608Metric",-109.855000,-15.143000,0.000000,bottom
"C404","1n","C_0603_1608Metric",-106.553000,-15.143000,0.000000,bottom
"C501","4u7","C_0603_1608Metric",-15.240000,-19.812000,90.000000,bottom
"C502","100n","C_0805_2012Metric",-5.588000,-20.193000,90.000000,bottom
"C503","1n","C_0603_1608Metric",-12.319000,-14.732000,0.000000,bottom
"C504","1n","C_0603_1608Metric",-9.017000,-14.732000,0.000000,bottom
"C1201","10u","C_0603_1608Metric",-15.240000,-103.251000,180.000000,bottom
"C1202","100n","C_0805_2012Metric",-13.208000,-97.536000,0.000000,bottom
"C1203","22u","C_0603_1608Metric",-11.430000,-104.394000,0.000000,bottom
"C1204","22u","C_0603_1608Metric",-11.430000,-102.616000,0.000000,bottom
"C1301","10u","C_0603_1608Metric",-45.974000,-107.188000,180.000000,bottom
"C1302","100n","C_0805_2012Metric",-43.942000,-101.473000,0.000000,bottom
"C1303","22u","C_0603_1608Metric",-42.164000,-106.553000,0.000000,bottom
"C1304","22u","C_0603_1608Metric",-42.164000,-108.331000,0.000000,bottom
"D101","BAS70TW","SOT-363_SC-70-6",-26.670000,-106.172000,90.000000,bottom
"J103","PMOD1","PinSocket_2x06_P2.54mm_Horizontal",-110.707000,-67.335000,180.000000,bottom
"L1201","4u7","L_1008_2520Metric",-10.922000,-100.330000,180.000000,bottom
"L1301","4u7","L_1008_2520Metric",-41.656000,-104.267000,180.000000,bottom
"Q901","TRANS_PNP-MMBT4403","SOT-23",-83.820000,-44.291500,90.000000,bottom
"Q902","TRANS_PNP-MMBT4403","SOT-23",-81.280000,-38.195500,-90.000000,bottom
"Q903","TRANS_PNP-MMBT4403","SOT-23",-73.660000,-38.195500,-90.000000,bottom
"Q904","TRANS_PNP-MMBT4403","SOT-23",-86.360000,-59.785500,90.000000,bottom
"R901","1k","R_0603_1608Metric",-88.900000,-60.039500,-90.000000,bottom
"R902","1k","R_0603_1608Metric",-86.360000,-44.545500,-90.000000,bottom
"R903","1k","R_0603_1608Metric",-78.740000,-37.941500,90.000000,bottom
"R904","1k","R_0603_1608Metric",-71.120000,-37.941500,90.000000,bottom
"R905","220","R_0603_1608Metric",-76.200000,-43.783500,-90.000000,bottom
"R906","220","R_0603_1608Metric",-78.740000,-43.783500,-90.000000,bottom
"R907","220","R_0603_1608Metric",-86.360000,-38.449500,90.000000,bottom
"R908","220","R_0603_1608Metric",-83.820000,-53.943500,90.000000,bottom
"R909","220","R_0603_1608Metric",-81.280000,-53.943500,90.000000,bottom
"R910","220","R_0603_1608Metric",-78.740000,-53.943500,90.000000,bottom
"R911","220","R_0603_1608Metric",-76.200000,-53.943500,90.000000,bottom
"R912","220","R_0603_1608Metric",-73.660000,-53.943500,90.000000,bottom
"R1101","100","R_0603_1608Metric",-27.686000,-7.429000,90.000000,bottom
"R1102","100","R_0603_1608Metric",-29.337000,-7.429000,90.000000,bottom
"R1401","5k1","R_0603_1608Metric",-42.418000,-115.824000,90.000000,bottom
"R1402","5k1","R_0603_1608Metric",-39.370000,-115.824000,-90.000000,bottom
"U401","NAU8315YG","QFN50P400X400X80-21N",-108.204000,-18.699000,180.000000,bottom
"U501","NAU8315YG","QFN50P400X400X80-21N",-10.668000,-18.542000,180.000000,bottom
"U1201","AP63205WU","TSOT-23-6",-15.240000,-100.584000,180.000000,bottom
"U1301","AP63203WU","TSOT-23-6",-45.974000,-104.521000,180.000000,bottom
"A101","A000066","ARDUINO_A000066",53.340000,-115.570000,90.000000,top
"C101","100n","C_0805_2012Metric",39.116000,-80.264000,90.000000,top
"C201","10u","C_0603_1608Metric",10.795000,-35.560000,90.000000,top
"C202","10n","C_0603_1608Metric",12.446000,-35.560000,-90.000000,top
"C301","10n","C_0603_1608Metric",104.902000,-92.710000,-90.000000,top
"C302","10u","C_0603_1608Metric",102.997000,-92.710000,-90.000000,top
"C303","2u2","C_0603_1608Metric",104.902000,-97.015000,-90.000000,top
"C601","10u","C_0603_1608Metric",113.665000,-35.814000,90.000000,top
"C602","10n","C_0603_1608Metric",115.316000,-35.814000,-90.000000,top
"D801","LTST-C190KRKT","LEDC1608X35N",96.187000,-66.500000,90.000000,top
"D802","LTST-C190KRKT","LEDC1608X35N",91.742000,-66.500000,90.000000,top
"D803","LTST-C190KRKT","LEDC1608X35N",87.297000,-66.500000,90.000000,top
"D804","LTST-C190KRKT","LEDC1608X35N",82.852000,-66.500000,90.000000,top
"D805","LTST-C190KRKT","LEDC1608X35N",78.407000,-66.500000,90.000000,top
"D806","LTST-C190KRKT","LEDC1608X35N",73.962000,-66.500000,90.000000,top
"D807","LTST-C190KRKT","LEDC1608X35N",69.517000,-66.500000,90.000000,top
"D808","LTST-C190KRKT","LEDC1608X35N",65.072000,-66.500000,90.000000,top
"DS1101","AMC1602AR-B-Y6WFDY-SPI","AMC1602ARBY6WFDYSPI",27.690000,-4.058000,0.000000,top
"J101","Barrel_Jack","BarrelJack_Horizontal",11.742500,-109.062000,90.000000,top
"J102","Conn_01x02_Female","JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical",24.150000,-111.743000,0.000000,top
"J104","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",39.370000,-60.960000,90.000000,top
"J105","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",39.370000,-55.880000,90.000000,top
"J106","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",7.630000,-58.420000,90.000000,top
"J107","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",7.630000,-63.500000,90.000000,top
"J301","Screw_Terminal_01x04","TerminalBlock_bornier-4_P5.08mm",115.316000,-103.124000,90.000000,top
"LED901","LDQ-M516RI","DIPS1524W50P254L5030H800Q12N",73.660000,-56.483500,90.000000,top
"LS401","Speaker","SPKR_AS01508MS-SC11-WP-R",108.458000,-18.699000,180.000000,top
"LS501","Speaker","SPKR_AS01508MS-SC11-WP-R",10.797000,-18.688000,180.000000,top
"MK201","CMM-4030D-261-I2S-TR","MIC_CMM-4030D-261-I2S-TR",7.620000,-35.560000,-90.000000,top
"MK601","CMM-4030D-261-I2S-TR","MIC_CMM-4030D-261-I2S-TR",110.490000,-35.772500,-90.000000,top
"P1401","USB_C_Plug","USB_C_Receptacle_Palconn_UTC16-G",40.640000,-114.949000,0.000000,top
"R101","10k","R_0603_1608Metric",35.433000,-93.599000,-90.000000,top
"R201","100","R_0603_1608Metric",10.287000,-38.862000,180.000000,top
"R601","100","R_0603_1608Metric",113.030000,-38.608000,180.000000,top
"R701","10k","R_0603_1608Metric",99.060000,-103.378000,0.000000,top
"R702","10k","R_0603_1608Metric",93.980000,-103.378000,0.000000,top
"R703","10k","R_0603_1608Metric",88.900000,-103.378000,0.000000,top
"R704","10k","R_0603_1608Metric",83.820000,-103.378000,0.000000,top
"R705","10k","R_0603_1608Metric",78.740000,-103.378000,0.000000,top
"R706","10k","R_0603_1608Metric",73.660000,-103.378000,0.000000,top
"R707","10k","R_0603_1608Metric",68.580000,-103.378000,0.000000,top
"R708","10k","R_0603_1608Metric",63.500000,-103.378000,0.000000,top
"R801","220","R_0603_1608Metric",97.711000,-66.500000,90.000000,top
"R802","220","R_0603_1608Metric",93.266000,-66.500000,90.000000,top
"R803","220","R_0603_1608Metric",88.821000,-66.500000,90.000000,top
"R804","220","R_0603_1608Metric",84.376000,-66.500000,90.000000,top
"R805","220","R_0603_1608Metric",79.931000,-66.500000,90.000000,top
"R806","220","R_0603_1608Metric",75.613000,-66.500000,90.000000,top
"R807","220","R_0603_1608Metric",71.168000,-66.500000,90.000000,top
"R808","220","R_0603_1608Metric",66.723000,-66.500000,90.000000,top
"R1001","10k","R_0603_1608Metric",89.408000,-84.074000,-90.000000,top
"R1002","10k","R_0603_1608Metric",74.160000,-90.678000,-90.000000,top
"R1003","10k","R_0603_1608Metric",74.168000,-84.074000,-90.000000,top
"R1004","10k","R_0603_1608Metric",74.168000,-77.724000,-90.000000,top
"R1005","10k","R_0603_1608Metric",58.920000,-84.074000,-90.000000,top
"RV101","100k","TRIM_3352T-1-104LF",106.920000,-2.222500,0.000000,top
"RV1101","100k","TRIM_3352T-1-104LF",12.700000,-2.210000,0.000000,top
"S101","PTS636_SM43_SMTR_LFS","PTS636SM43SMTRLFS",39.751000,-97.790000,-90.000000,top
"S102","PTS636_SM43_SMTR_LFS","PTS636SM43SMTRLFS",46.609000,-97.917000,-90.000000,top
"S701","EG1218","EG1218",99.060000,-111.760000,-90.000000,top
"S702","EG1218","EG1218",93.980000,-111.760000,-90.000000,top
"S703","EG1218","EG1218",88.900000,-111.760000,-90.000000,top
"S704","EG1218","EG1218",83.820000,-111.760000,-90.000000,top
"S705","EG1218","EG1218",78.740000,-111.760000,-90.000000,top
"S706","EG1218","EG1218",73.660000,-111.760000,-90.000000,top
"S707","EG1218","EG1218",68.580000,-111.760000,-90.000000,top
"S708","EG1218","EG1218",63.500000,-111.760000,-90.000000,top
"S1001","PTS636_SM43_SMTR_LFS","PTS636SM43SMTRLFS",96.512000,-84.074000,180.000000,top
"S1002","PTS636_SM43_SMTR_LFS","PTS636SM43SMTRLFS",81.288000,-90.678000,180.000000,top
"S1003","PTS636_SM43_SMTR_LFS","PTS636SM43SMTRLFS",81.280000,-84.074000,180.000000,top
"S1004","PTS636_SM43_SMTR_LFS","PTS636SM43SMTRLFS",81.288000,-77.597000,180.000000,top
"S1005","PTS636_SM43_SMTR_LFS","PTS636SM43SMTRLFS",66.032000,-84.074000,180.000000,top
"U101","STM32F072VBTx","LQFP-100_14x14mm_P0.5mm",25.400000,-78.740000,180.000000,top
"U301","DRV8833RTY","Texas_S-PWQFN-N16_EP2.1x2.1mm",108.458000,-95.504000,180.000000,top
